,Text,label,predicted
44,Often these machines at this location will not respond when pressing the transaction needed. These are not old machines. I would like to see the machines enclosed with an access control door. Sometimes there are panhandlers in the parking lot where this bank branch is located. and I would feel safer with access controlled ATM's.,improve touchscreen,normal
45,comfort,normal,normal
46,It worked,normal,normal
47,Fast,normal,normal
48,It was fast and efficient,normal,normal
49,"The atm is well lit at night, which makes it feel safe.",normal,normal
50,Made a deposit at an ATM. Nothing could be simpler. Nothing to rate unless the process fails or takes too long.,normal,normal
51,Convenient,normal,normal
52,Very easy to use.,normal,normal
53,I never have a problem withdrawing  or depositing with you ATMs,normal,normal
54,When I withdraw or deposit money into my account I have no problem doing so,normal,normal
55,"Newly installed ATM surprisingly did not have the bill denomination option. Sad that you modernized but retained the 20,s as the only bill distributed while some of your ATM's provided a 10""s option.",multi-denomination,multi-denomination
56,The ATM worked as it should have and gave me the money I asked for.,normal,normal
57,The ATM worked properly,normal,normal
58,"ATM works fast.  In the winter, though it is often difficult when it is super cold outside for the screen to function properly.  Thanks",normal,normal
59,Machine worked properly and swiftly.,normal,normal
60,Very happy you added $10 bills to the ATMs.  Makes my life so much easier.,normal,normal
61,nan,normal,normal
62,Good location and easy to use,normal,normal
63,Safe,normal,normal
64,More locations,add location,add location
65,Fast and easy,normal,normal
66,Outstanding professionalism and character.,normal,normal
67,It works ok,normal,normal
68,ATM very easy to use and fast.,normal,normal
69,very convenient and private from your own car but sometimes the touch screen does not respond to the touch and if possible more choices tahn just $20.00 & $50.00 bills on the withdrawals but everything is good.P.S. at the branch they are very nice and profecional and always try to help you what what you need.,normal,normal
70,It was quick and easy.,normal,normal
71,Overdrafts,normal,normal
72,great location,normal,normal
73,Easy to use,normal,normal
74,"I hate the new drive up machines. The screen, is a lot taller which means you have to reach even higher on the screen to do what is necessary for your transaction and if you are a short person not driving a truck this is impossible, so I now have to use the walk up machines every time I do ATM banking and in bad weather this is very inconvenient.",drive-up height/layout,drive-up height/layout
75,No wait and newer atm.,normal,normal
76,Very efficient and user friendly,normal,normal
77,No problems with machine. Easy to use.,normal,normal
78,Customer Service was so good in that branch,normal,normal
79,My use of it,normal,normal
80,It was quick. Effucient. No hassle.,normal,normal
81,service staff nice and smile,normal,normal
82,The ATM could not recognize the amount printed on the check. I had to enter the amount manually. Better recognition of this printed check would improve the experience.,improve deposit process,improve deposit process
83,There isn’t enough parking the place is always full.,safety/cleanliness,safety/cleanliness
84,"Easy to use, just needed my apple phone to access the atm, new atm’s and of course it’s on my way home from work,...  convenience.",normal,normal
85,The machine is really convenient and easy to use. The location of the bank is accessible and it is in a safe neighborhood.,normal,normal
86,Everything is good,normal,normal
87,I did not have to wait.,normal,normal
88,Speed of transaction.,normal,normal
89,"Machines work great, always crowded",normal,normal
90,Just went in to deposit money,normal,normal
91,"The machine gave me money...like it should, it gave me the amount I asked for....like it should. I don't like bills going everywhichway but I can fix that.  What more should it do?",normal,normal
92,"Fast, easy and updated machines.",normal,normal
93,Es r?pido y eficiente..,normal,normal
94,Depositing sons check,normal,normal
95,Always reliable and convenient,normal,normal
96,Good,normal,normal
97,worked perfectly,normal,normal
98,The new ATM is much easier to use than the older one.,normal,normal
99,Good to have boa in a main location. Would be good for you to get the contract at Washington Reagan!,normal,normal
100,It worked,normal,normal
101,Fast,normal,normal
102,Start giving$100 bill,multi-denomination,normal
103,"Fast , clean , flawless",normal,normal
104,It was fast and efficient!,normal,normal
105,Withdraw cash,normal,normal
106,Fast and easy plus I felt secure,normal,normal
107,The option given to choose currency,normal,normal
108,image of checks is back,normal,normal
109,It worked with no problems. Nuff said,normal,normal
110,It’s always working and there are many sections for bills like 20$50$100$,normal,normal
111,The area and machine was very clean all the lights was working on a machine.,normal,normal
112,"Quick, convenient.   I like my receipts being emailed to me.",normal,normal
113,went well,normal,normal
114,"The old ATM there was bad.  Besides the keypad being worn out and unreadable, it seemed like 25% of the time I could not complete a transaction due to some malfunction.  I have not experienced any issues with the new ATM.",normal,normal
115,I would like to be able to take out more than $800. Cap it at $2000,improve withdrawal process,improve withdrawal process
116,Takes time but it is to be expected.,make process faster,normal
117,Don't like the drive way,normal,normal
118,"Speed, no wait.",normal,normal
119,"Waited over 30 minutes,there was only one customer,ahead of me who ask a question,another two customer show up one had an appt,an the other had a question , all I needed was a letter to be noterized,after waiting the associate who does noterized returns from her break an attends the person who had the appt, I came from PR, to visit my daughter",improve customer service,normal
120,"Great service, Aron was very helpful",normal,normal
121,This ATM  experience was satisfactory.,normal,normal
122,"It doesn't seem to be in a very secure location to me, but then again I've gotten old and suspicious.",safety/cleanliness,normal
123,Good service wait time 1 min. Machine set up hi when in a low lying car,normal,normal
124,ease of use,normal,normal
125,"secure  location, 2 atms",normal,normal
126,It is an odd design for ATM set up.  It did work just fine tho but in the past I have been stuck behind the person in front of me.  Now I have a big truck so to get out is difficult.,normal,drive-up height/layout
127,Nice location,normal,normal
128,"The information that I was provided, was exactly what I was looking for.",normal,normal
129,I got exactly what i wanted. The fact that it was not outside was nice because it is cold in Chicago,normal,normal
130,Quick & easy,normal,normal
131,Efficient,normal,normal
132,Location of ATM. Helpful staff.,normal,normal
133,"Its always faster, never pack",normal,normal
134,No problems!,normal,normal
135,New ATM Machine is Great give me Options w/Bills and fast,normal,normal
136,"There was not a long wait, all machines were working, in and out very convenient",normal,normal
137,Convenient,normal,normal
138,"I used the ATM drive up, but for some reason you installed ATM’s with screens  that are too high up to reach from my car window (I drive a Honda Civic). Thus, I have to get out of my car to use the screen. Why did you install screens that are hard to reach from a car window? I’ve never experienced this at any ATM or drive up at your branches before",drive-up height/layout,drive-up height/layout
139,Everything was easy to do,normal,normal
140,"Convenient. The one ATM had no cash, but the other one day.",normal,normal
141,I could complete all transactions.,normal,normal
142,I had no problem quick and easy,normal,normal
143,deposit process timing seems long.,normal,make process faster
144,Very convenient location for me,normal,normal
145,Easy and fast,normal,normal
146,"The atm was very customer friendly and ""clean :",normal,normal
147,It was a drive thru,normal,normal
148,Quick and convenient location.,normal,normal
149,Convenience.,normal,normal
150,Deposit,normal,normal
151,Front Door was not locked,normal,door/parabit reader
152,"The location is convenient, the machine performs well and there is a security guard close to the machine. The latter does provide a sense of safety.",normal,normal
153,It was easy getting in and out without any delay.,normal,normal
154,"The location of the machines in reference to the car, is making kind of difficult using it. Reaching the screen is hard from inside the car, no matter how well I try to manage to positioned my vehicle. I don't have that kind of difficulties in other locations.",drive-up height/layout,drive-up height/layout
155,"Sometimes atm machines don’t have money in them, people stand in line and wait for their turns. Bank should provide help to them. Also, make sure every time there are some money in the ATM machine.",improve withdrawal process,improve withdrawal process
156,She was very professional. Great interpersonal skills!,normal,normal
157,Long lines.,normal,normal
158,ease of use of ATM,normal,normal
159,I appreciate BOA approving my overdraft I needed the money for food and to pay a bill until my direct deposit arrives. Again Thanks BOA,normal,normal
160,The machine worked.,normal,normal
161,"Have no choice but to go to that atm no other branches close except surfside beach and tellers are rude, always a long wait and no drive thru",normal,add location
162,"As I was using one of the ATMs, the person next to me sneezed. I looked around for wipes or something to wipe the keys with thinking someone could have sneezed at mine but did not see anything. So maybe adding even a hand sanitizer?",safety/cleanliness,safety/cleanliness
163,This machine was messed up,safety/cleanliness,safety/cleanliness
164,Closet to home,normal,normal
165,I had no problems occur.,normal,normal
166,"little to no wait time, easy to use.",normal,normal
167,Everything functioned as it should,normal,normal
168,Quick and easy!,normal,normal
169,Atm withdrawal,normal,normal
170,This specific machine is a little high when you are in a smaller car -- but I understand you have to accommodate trucks and larger vehicles too.,drive-up height/layout,drive-up height/layout
171,Never have any problems it's really easy,normal,normal
172,The room was a little messy,normal,safety/cleanliness
173,"I was able to park my car in the bank lot, access the Arm, conduct my business efficiently within three minutes. The lobby was clean and secure with a camera. Convenient.",normal,normal
174,Drive up Atm,normal,add location
175,Ability to choose the denomination of bills.,normal,normal
176,No problem. Easy to use.,normal,normal
177,"Sometimes people take to long at ATM, but I guess that is the way it is.Otherwise no problem",make process faster,normal
178,"ease of access, security",normal,normal
179,Easy,normal,normal
180,"The drive thru ATM machines are too close, where the second car has to wait for the first car to move out, before the 2nd car can move.  Some smaller cars like mine, or me, are able to squeeze out between the pillar/column and the right back panel of the front car.  Maybe another 2 ATM machines at the drive thru or 1 more walk-up machine close by??",drive-up height/layout,drive-up height/layout
181,Thank you for replacing the old outdated machine with a brand new modern efficient machine,normal,normal
182,The room that the ATM room was in had no air conditioning and was extremely hot and humid.,safety/cleanliness,safety/cleanliness
183,Able to get everything i needed done,normal,normal
184,Convenient,normal,normal
185,Excelente customer service and products,normal,normal
186,No reason,normal,normal
187,do not know have not been there,normal,normal
188,Ability to get funds in $10 and $20 increments.,normal,normal
189,Almost every time I go there to deposit cash I have to go from one machine to another because they aren’t accepting cash,normal,improve deposit process
190,Awesome atm machine,normal,normal
191,This ATM is always working and is easy to use.,normal,normal
192,I like that you can pick the size of bills you want.,normal,normal
193,It was great!,normal,normal
194,"Provided the same quick, consistent, and easy service that the ATM always does.",normal,normal
195,Is very easy any think and I can find in any place one,normal,normal
196,to far away for me..the one at Main and Whirlpool is constantly down or transactions are not available..this happens often,add location,add location
197,"Because it's easy, quick and gave me choose. Also, exactly where I needed.Thanks, Nelci",normal,normal
198,"Convenient, clean and on my route",normal,normal
199,Didn't have any problems,normal,normal
200,"I love the new machine, however, there are still so many steps before the deposit is done but I don't know how you can make it quicker.  Sometimes people in front take very long time that I get frustrated",normal,normal
201,experience was good,normal,normal
202,It was quick and efficient,normal,normal
203,I like it cuz I just go in and out,normal,normal
204,The atm lanes are only a little narrow.,drive-up height/layout,normal
205,Fast service,normal,normal
206,"User friendly, fast and I love it",normal,normal
207,Email that I had received from a credit reporting agency,normal,normal
208,I never have any trouble with my transactions . They are easy to use!,normal,normal
209,I had no idea this location was there and that is of great convenience for me. I work in a cash driven business and I always like to deposit said cash on my way home. I would usually wait cause the only location was out of my way.,normal,normal
210,It was quick and accurate.,normal,normal
211,Would be nice if you have variety of bill instead of only $20,multi-denomination,multi-denomination
212,I enjoy the convienence and security of making transactions after business hours,normal,normal
213,The location was convenient.  The ATM was simple to negotiate.,normal,normal
214,"The first time, the ATM couldn't read the check I inserted. I tried again and the ATM was able to read the check the second time around.",normal,normal
215,Mostly because there was no one else in line so I didn't have to wait.  There are three atm machines and I was able to get in and out quickly.,normal,normal
216,The machine was fairly straightforward to use.  I had no problem with it.,normal,normal
217,Very professional and courtesy,normal,normal
218,I love the quick service without having to fill out a deposit slip. The email receipt gave great details.,normal,normal
219,"It’s not as fast as it used to be so when I stop by the drive up at night, I’m always anxiously looking around because it’s kind of slow counting my money. The old machine was much quicker",improve deposit process,normal
220,"Two ATMs, so no wait. Choice of cash denominations. Easy and quick process to get my cash.",normal,normal
221,Check deposit,normal,normal
222,"using atm was fine, just hard to reach from drive-up atm ....",normal,normal
223,easy and fast access,normal,normal
224,I've never had a bad experience.,normal,normal
225,Convenient location,normal,normal
226,It was clean and the atm was fast also,normal,normal
227,"The ATM area is locked, so I feel secure while making my transition.",normal,normal
228,I liked being able to withdraw different amounts (not just in quantities of 20’s),normal,normal
229,Bank Of America has alway kept up with latest technology. Therefore making my banking experience very simple,normal,normal
230,All good,normal,normal
231,I just used the ATM at that time. It was easy and convenient.,normal,normal
232,"You need provide. Faster and efficient ATM machines , because tooks to long , to make cash deposits",make process faster,make process faster
233,Simple to follow prompts.  Lettering is big enough to read.   Easy to use and complete a transaction quickly.,normal,normal
234,For the atm to have enough money for withdrawals,improve withdrawal process,improve withdrawal process
235,Quite and easy,normal,normal
236,updated machines make depositing checks and cash quicker and more efficient than previous machines,normal,normal
237,"What do you fish for?I used the ATM- that is it.Do I hurt its feelings?A better experience would be if moneywas coming outNBCUniversal is willing to lose the television rights to SmackDown Live while maintaining its relationship with WWE to air Raw on USA Network, The Hollywood Reporter's Matthew Belloni report.Lord what can be inproved",normal,normal
238,Location and quick service. No delays in transactions,normal,normal
239,Fast an efficient,normal,normal
240,Since installing the new ATMs transactions are much easier and quicker.,normal,normal
241,More lights for safety. The area does not feel safe,safety/cleanliness,safety/cleanliness
242,You have to 2 atm machine which really helps when you’re in a hurry,normal,normal
243,very convienient,normal,normal
244,Everything worked without any issues,normal,normal
245,Easy to use and functional.  Keep up the great work,normal,normal
246,Deposit.,normal,normal
247,fast and efficient.,normal,normal
248,These ATMs work well and don't jam like the others near my home. The access is easy from my car. Some of the others are too high and awkward to use.,normal,normal
249,"We have been Bank of America customers for many years, banking at the location on West Ridge Rd. and Long Pond Rd. in Greece, NY and have always been impressed with their attention to customer service.",normal,normal
250,The door was broke. I didn’t feel safe using it,door/parabit reader,door/parabit reader
251,Thanks; quick and easy,normal,normal
252,Convenient ATM location,normal,normal
253,"Have a lower and higher ATM.I drive a Jaguar and at some banks, to go through the ATM, I need to physically get out",drive-up height/layout,drive-up height/layout
254,Always fast and convenient,normal,normal
255,Easy and fast no problems,normal,normal
256,"Location, ease and updated machine.",normal,normal
257,More local ATMs. I have to travel 8 miles each way to use a BOA ATM. WAWA does not have a surcharge however BOA does charge me for using the WAWA ATM. We need another branch or ATMs between Lacey and Route 72. If not than the charges should be waived due to distance. You want us to get or statements electronically to help the environment.,add location,add location
258,New atm machines assist with time and choices for cash,normal,normal
259,To withdraw $10,normal,normal
260,"New kiosks are big, bright and easy to use",normal,normal
261,satisfied,normal,normal
262,"That I had another choice to to do my banking, it was so fast no waiting !!",normal,normal
263,The lady was very professional and helpful.,normal,normal
264,Lower the height of the atm so it is more reachable from all vehicles not just the majority and have more than one atm outside.,drive-up height/layout,drive-up height/layout
265,There was no hassle at all I was able to start it on my phone and finish the transaction smoothly once at the atm,normal,normal
266,"New machines, very quick",normal,normal
267,Fast easy convenient,normal,normal
268,it was fast and absolutely accurate,normal,normal
269,accessibility,normal,normal
270,The machine is slow and too high for certain vehicles.,drive-up height/layout,make process faster
271,Clear screen I instructions,normal,normal
272,"ATM usually working, stocked and allows me to pick my bills.",normal,normal
273,After hours and convenience of location for me,normal,normal
274,nan,normal,normal
275,New denomination option,normal,normal
276,Easy access,normal,normal
277,"The location is convenient, easy in easy out. ATM machine is brand new and easy to use.",normal,normal
278,ease of use and cleanliness,normal,normal
279,"It’s an ATM, pretty easy to use",normal,normal
280,A little challenge swiping my card to get in.,normal,normal
281,"The card reader to go into the bank does not work, three different tried to use their ATM cards to get in .  I used my credit card to gain access to enter the bank.",door/parabit reader,door/parabit reader
282,Quick service,normal,normal
283,No line and two  ATM's available,normal,normal
284,Very efficient ATM,normal,normal
285,Easily accessible and short wait,normal,normal
286,Easy access and close to home,normal,normal
287,I thought this was about my visit wth Wanda not the ATM - sorry,normal,normal
288,Does not give the option for 10.00  Or 5”s,normal,multi-denomination
289,The transaction where so fast and their network signal is very good.,normal,normal
290,"I tried making a cash deposit and the ATM would not accept 5 bills. One bill had a smudge on it but the rest of the bills were fine. no folds, no tears, no tape",improve deposit process,improve deposit process
291,Very fast and new machine,normal,normal
292,Convenient location,normal,normal
293,The upgraded ATM ease of use,normal,normal
294,Great customer service and great support team,normal,normal
295,No problems with transaction.,normal,normal
296,"The first ATM would not accept cash deposits, the second one was difficult to use with touch screen buttons.",improve deposit process,improve deposit process
297,I requested money from my account and received it.,normal,normal
298,Closet to My house,normal,normal
299,"The ATM  gallery is neat, also the ATM machine are working perfectly.",normal,normal
300,Ease of use,normal,normal
301,Convient location,normal,normal
302,The ATM actually had 2 separate drive-up machines which made it easy and half the wait time to make your transaction.,normal,normal
303,Location is perfect!!,normal,normal
304,Great and easy ATM experience,normal,normal
305,Satisfactory,normal,normal
306,it was quick and convenient,normal,normal
307,Cash deposit,normal,normal
308,"convenience, easy to use ATM",normal,normal
309,The driveway is too narrow,drive-up height/layout,drive-up height/layout
310,La puerta no abre con falidad para ingrsar en hora que no atiende el Banco,normal,normal
311,Ability to request certain note denominations would be helpful from atm.,normal,multi-denomination
312,Deposit & withdrawing,normal,normal
313,Good security,normal,normal
314,No issues all good machines are always in good working order,normal,normal
315,A shield to cover my pin as I type in my numbers,safety/cleanliness,safety/cleanliness
316,No hassle,normal,normal
317,"The ATM doesn't always process check deposits efficiently. It says to deposit up to 10 checks at a time, but often it attempts to take a stack, but ends up rejecting it. We are left with depositing 3-5 checks at a time. No issue for my personal account, but for my business, where we typically deposit 10-20 checks, it takes a while.",improve deposit process,improve deposit process
318,no reason,normal,normal
319,offer higher bills in the 50 and 100 denominations,multi-denomination,multi-denomination
320,The money came out when I punched in my password.,normal,normal
321,Quick and easy transaction plus friendly & courteous staff,normal,normal
322,"The place was filthy, sanitation was horrible and the Airconditioner in that booth hardly ever works.",safety/cleanliness,safety/cleanliness
323,"Ease of use, location.",normal,normal
324,I just never have a problem,normal,normal
325,"The specialist was very informative. Everything was explained, and the response time was on point!!",normal,normal
326,The angle of the one atm is very hard to reach new position needed,drive-up height/layout,drive-up height/layout
327,good location and ease of operating,normal,normal
328,ok,normal,normal
329,Now 2 separate lanes and new ?? with better numbers for options. ??,normal,normal
330,"The last 3 times ive gone to this branch one or both tellers or Atms have been out of order, i work nights and get there before bank opens but its still not convenient to have to go to another branch",normal,improve customer service
331,Not having to reenter card for each transaction,chaining,chaining
332,I feel safe in withdrawing money from a bank.,normal,normal
333,Better clear screen and features,normal,normal
334,ATM takes cash. Only location within 5 miles. Kind of have to like it,normal,normal
335,I like the new machine.,normal,normal
336,Always is there for me,normal,normal
337,Quick efficient safe,normal,normal
338,Transaction went smoothly with no issues.,normal,normal
339,Convenient location,normal,normal
340,Accessible,normal,normal
341,Have more ATM sites,add location,add location
342,nothing special,normal,normal
343,was quick and efficient.,normal,normal
344,It was a good experience till it would deposit the whole amount I was depositing saying there was an error. It wanted me to say what the amount I was depositing was and I didn’t know the full amount. It did deposit some of it but now all.,normal,normal
345,No probles,normal,normal
346,Convenient location and can choose if I want different bills.,normal,normal
347,"Quick, easy, like that I can designate denominations of cash.",normal,normal
348,"The ATM is no problem. Every time I have to go inside the bank, the wait times are extremely long. I just needed to do a wire transfer and get back to work and it took about 2 hours. Just to get cash out inside the bank it takes an hour....... I like my account with Bof A but I hate going inside!!!",improve customer service,normal
349,The bugs are horrible around that ATM,safety/cleanliness,safety/cleanliness
350,Fast,normal,normal
351,Fast and efficient check deposit,normal,normal
352,The ATM was fast in dispensing cash unlike before.,normal,normal
353,Your the best,normal,normal
354,FAST!,normal,normal
355,Large bills,multi-denomination,normal
356,I feel that atm Services are easier to do my deposits and taking out cash,normal,normal
357,Convenient,normal,normal
358,The reason behind my rate is that the atm was quick and easy.,normal,normal
359,"easy , efficient",normal,normal
360,Always works.,normal,normal
361,It's very easy to follow the instructions on the screen.,normal,normal
362,ATM'S ARE THE BEST,normal,normal
363,I had no problem with my transaction.,normal,normal
364,"Talking to other people and along with myself, you drive up Atm's are not truck friendly. You shiuld have that sits higher and lanes wider",drive-up height/layout,drive-up height/layout
365,My transaction when smoothly without a hitch????,normal,normal
366,Had no problem,normal,normal
367,It's always available for use!,normal,normal
368,Quick and easy,normal,normal
369,"They replaced the Atm with a new one. The other one was horrible. The screen sensitivity was so messed up, i rarely got the right $ amount when i withdrew funds. So compared to that,  this new one is amazing.",normal,normal
370,"I was surprised to notice this specific drive-thru ATM was newer. And had options such as choosing your bills ($100, $20, $10) for withdrawals.",normal,normal
371,Easy process,normal,normal
372,Finally a atm close to home,normal,normal
373,Quick and easy. I also liked the denomination option. That's new to me.,normal,normal
374,Because it's past is easy and I like the way the service is I rather go to the ATM then inside cuz it's less complicated hello waiting most of the time,normal,normal
375,I like the new modern ATM machine. I took a point off for the fact that I have to travel so much farther to this bank and the access road to this particular ATM is too tight for larger vehicles.,normal,normal
376,Great user friendly machine. Clear display. And one that has a screen wherby polarized sunglasses can see.,normal,normal
377,Easy and convenient,normal,normal
378,Easy and concise,normal,normal
379,did what it was supposed to do,normal,normal
380,I love the opportunity to choose the denominations of my cash.,normal,normal
381,New machine,normal,normal
382,one of the few bank of America ATMs I've never been unable to get cash with the fewer and fewer locations this one is handy for me,normal,normal
383,Reliable,normal,normal
384,It is good service all of ATM.,normal,normal
385,Transaction speed is terrible. Acts like the servers are over loaded and can not process the commands. Had to push screen buttons multiple times.,make process faster,make process faster
386,Quick and easy.,normal,normal
387,A good and cooperative staff.,normal,normal
388,"Bank of America at 71st and continental, Forest Hills Queens have the very best service of all.  I love Bank of America.  This branch stands out and are people sensitive.",normal,normal
389,THE ATM WAS FUNCTIONING PROPERLY AND I WAS ABLE TO CONDUCT MY TRANSACTION IN A VERY TIMELY FASHION,normal,normal
390,"I walked up to the ATM, followed the instructions, and then out came my money.  After that I received the amount of money that remained in my account on a receipt slip.  If I deposit money the same thing.",normal,normal
391,"fast,2 machines",normal,normal
392,No waiting in line.,normal,normal
393,All Good,normal,normal
394,"easy access, convenient to work, machines were in nice secure place, felt safe",normal,normal
395,The ATM deposit was fast and account was credited quickly.,normal,normal
396,New touch screen and did not have to wait.,normal,normal
397,This atm works great except that that it is very hard to reach from a regular size car (sedan).,drive-up height/layout,normal
398,Easy access. Nice ATM machine.,normal,normal
399,It was fast and easy. There was no line. Getting my card back fast is a nice thing too.,normal,normal
400,Anytime in the AM the sun shines on the ATM screen and it is very difficult to read because of the glare from the sun. A larger sun canopy would help.,normal,normal
401,nothing its bad in general yall charge stupid fees im going to switch banks,improve customer service,improve customer service
402,If i add a cash in check slide the atm should reject it !,improve deposit process,improve deposit process
403,Quick access and no waiting there,normal,normal
404,Atm withdrawal,normal,normal
405,I've never had any problems with the ATMs or the bank's customers services. Nice and friendly people who will go out their ways to solve any inconveniences rather than their own troubles. Very professional like with humble people's skills.,normal,normal
406,Ability to choose bill denominations,normal,normal
407,"Ease of use, easy commands.",normal,normal
408,Easy process for cash deposits,normal,normal
409,Inside atm open 24hrs,normal,normal
410,nan,normal,normal
411,Easy atm using system,normal,normal
412,"Quick, efficient and timely.",normal,normal
413,it is the nearest ATM location to my house,normal,normal
414,"This is the second time in two months that I have had issues with a Bank of America ATM. Although this time it just didn`t give me cash, the last time it took all of my checks and ATM card and when I tried to call about it, I was told that that there was nobody that could help me. Stange because I called a 24hr customer service number...",normal,improve customer service
415,I’m being charged a atm fee. Yet five minutes prior I was at my atm but stated unavailable for withdrawal. So now I got charged a 3.50 atm charge at another atm,improve customer service,improve customer service
416,Convenient,normal,normal
417,In and out very fast.,normal,normal
418,Make the amount of cash it will dispense higher.,improve withdrawal process,improve withdrawal process
419,"I went to the drive through without my deposit slip, the teller was very pleasant and helpful with my deposit even though she had to look up my account..",normal,normal
420,I made a deposit without any issues.,normal,normal
421,have outside tellers,add location,improve customer service
422,Easy to use and close to me.,normal,normal
423,"Less times you have to keep putting your card back in to the machine. For example, if you want to start by getting your balance, even just on the screen, then you want to do a deposit, and then a withdrawal, each one of those transactions requires taking out and then reentering your card & pin. Completely redundant, for the same customer.",chaining,chaining
424,It activated my atm card to let me use the locations atm. Clean,normal,normal
425,In and out in a minute to pay towards my credit card.,normal,normal
426,Machine did as expected,normal,normal
427,"equipment worked well, and there were 2 lanes",normal,normal
428,I was able to complete my transaction with no problem.,normal,normal
429,Quick and convenient.,normal,normal
430,Quick and easy,normal,normal
431,I love my bank!,normal,normal
432,The ATM is in an open area.,normal,normal
433,None,normal,normal
434,Service is fine however the entry to the machines are old and new suvs have a terrible time getting through without careful maneuvering. I have had several friends say the same thing. These need to be updated or the yellow poles removed.,drive-up height/layout,normal
435,"The only advantage this ATM has for me is that it is closest to where I live. There is only one machine, located in a parking garage, with a traffic pattern that forces me to drive through the garage when my transaction is complete. Oh, and I have to make a special trip to go there, too.",add location,normal
436,Clear and speedy messages for transactions.,normal,normal
437,Easy access easy instructions,normal,normal
438,Cash withdraw,normal,normal
439,i like everything. i only wish machines would have been faster in their electronic response,normal,normal
440,"Customer service there was only one teller providing service for approximately 12 customers Who were waiting in line to make a transaction. Face to face contact was made with the branch manager to make her aware of my disappointment in the banks lack of tellers available. The manager was arrogant, uncaring and refused to address customers",improve customer service,improve customer service
441,"I was in and out. I was able to use my iPhone to set up the with drawl. And when making a deposit at this machine, it goes very smooth and quick. Great service.",normal,normal
442,So easy to access,normal,normal
443,Simplify steps,user interface,normal
444,Easy as ever,normal,normal
445,Yes and save me time from standing in line,normal,normal
446,"Easy, quick, no problems",normal,normal
447,I am very happy that I have a client in the Bank of America and satisfied with that,normal,normal
448,Easy in and out for the access to this ATM,normal,normal
449,Easy....quick....safe,normal,normal
